"","HEI","Title","Description","Aplication"
"1","Universidade de Aveiro","Structural analysis of plastic materials","Structural characterisation using XRD, FTIR, Raman and complementary techniques.","Structural analysis to identify phases, functional groups and crystallinity in polymeric materials. 
Acquisition and basic interpretation of XRD, FTIR, Raman and NMR spectra to assess formulations and chemical modifications. 
Evaluation of thermal, oxidative or photochemical degradation in virgin and recycled plastics. 
Compatibility and miscibility assessment in blends and composites through spectral analysis. 
Elemental analysis to verify composition, purity or the presence of additives and contaminants. 
Technical support for recycling studies, quality control and validation within circular-economy projects."
"2","Universidade de Aveiro","Mechanical testing of plastic materials","Evaluation of mechanical properties through tensile, compression, flexural, hardness, and impact testing","Production of thermoplastic sheets, films, or specimens. 
Optimization of pressing conditions and processability validation. 
Preparation of samples for thermal, mechanical, or barrier testing. 
Processing of recycled or modified formulations."
"3","Universidade de Aveiro","Optical analysis of polymers","Optical analysis of polymers by UV-Vis spectrometry and colorimetric analysis","Quality control of films and coatings 

Transparency and color assessment 

Degradation study under recycling or UV exposure 

Development of functional polymers and additives"
"4","Universidade de Aveiro","Plastic surface coating","Surface coating by screen printing, doctor blade coating, and spray coating","Controlled application of functional coatings and labelling on plastic sheets and parts. 
Validation of inks, varnishes, barrier layers, or protective coatings. 
Optimization of screen-printing and doctor blade coating parameters for specific formulations. 
Production of coated samples for advanced characterization or industrial validation. 
Evaluation of adhesion, thickness, and uniformity of functional coatings. 
Technical support for the development of printed electronics and functional devices on plastic substrates."
"5","Universidade de Aveiro","Morphological analysis technical service","Micro- and nanoscale characterization of plastic materials using optical and electron microscopy techniques.","Provision of micro- and nanoscale morphological analysis of plastic materials. 
Service for detecting and diagnosing defects, porosity, interfaces, and degradation in polymer parts or formulations. 
Morphology-based assessment of the effects of recycling, reformulation, or material modification processes. 
Morphological quality control of materials and parts for industrial, pilot-scale, or laboratory environments."
"6","Universidade de Aveiro","Analysis of Barrier and surface properties","Determination of water vapor and oxygen permeability and contact angle measurement.","Evaluation of packaging materials;  

Development of functional coatings;  

Study of nanocomposites;  

Quality control of materials"
"7","Universidade de Aveiro","Thermal analysis of polymers","Thermal analysis of polymers using Thermogravimetric Analysis, Differential Scanning Calorimetry, and Differential Thermal Analysis","Material characterization; quality control; new product development; process optimization; scientific and industrial research."
"8","Universidade de Aveiro","Polymer extrusion technical service","Continuous processing of thermoplastic and functional composite materials at lab and pilot scale","Production of filaments, sheets, films, and thin tubes. 
Processability and thermal stability tests. 
Validation of thermoplastic, recycled, or composite formulations. 
Pilot sample fabrication for characterization or industrial trials."
"9","Universidade de Aveiro","3D printing technical service","Additive manufacturing of thermoplastic and composite materials at laboratory scale.","Fabrication of reproducible parts, prototypes, or specimens. 
Optimization of printing parameters and processability validation. 
Evaluation of interlayer adhesion and surface quality. 
Printing of recycled or experimental formulations."
"10","Universidade de Aveiro","Injection molding techical service","Processing of thermoplastic, recycled, and composite materials at laboratory and pilot scale.","Production of reproducible molded specimens. 
Validation of processability and thermal stability of formulations. 
Optimization of injection parameters and quality control. 
Pilot-scale testing for industrial validation or advanced characterization."
"11","Universidade de Aveiro","Servicio de compounding","Blending and processing of thermoplastic and composite materials with rheological control.","Production of homogeneous and stable compounds for further processing. 
Rheological evaluation during mixing or extrusion. 
Validation of processability and additive dispersion. 
Reproducible quality control of polymer formulations."
"12","Universidad de Santiago de Chile","Product and service prototyping advisory","Technical and methodological support for functional prototypes","Entrepreneurship; Technological innovation; New product development"
"13","Universidad de Santiago de Chile","3D modeling and printing","Physical prototype fabrication for early validation","Design validation; Product development; Technological innovation"
"14","Universidad de Santiago de Chile","Juan Fernandez Circular","Development of a comprehensive technological system for solid waste management","Recycling industry, applied research, and environmental education. This is technology transfer for the Juan Fernández archipelago community."
"15","Universidad de Santiago de Chile","Innovation capability diagnosis for compaines","Strategic assessment of organizational innovation maturity","Public and private companies; Organizational transformation processes; Innovation strategy design"
"16","Universidad de Santiago de Chile","Business model advisory","Design and validation of innovative business models","Entrepreneurship; Startups; Business innovation"
"17","Universidad de Santiago de Chile","Sustainable innovation management","Integrating sustainability into innovation processes","Companies; Innovation projects; Sustainable strategies"
"18","Universidad de Santiago de Chile","Organizational and production process management","Optimization of organizational structures and processes","Industrial companies; Process optimization; Organizational transformation"
"19","Universidad de Santiago de Chile","Support in applying for entrepreneurship funds","Strategic support in funding application processes","Applications to CORFO, ANID"
"20","Universidad de Santiago de Chile","Organizational and production process management","Optimization of organizational structures and processes","Industrial companies; Process optimization; Organizational transformation"
"21","Universidad de Santiago de Chile","Recycled Plastics Prototyping","Additive manufacturing and pilot-scale prototyping for recycled product development","Design and validation of functional prototypes for new products; Development of components and parts made from recycled plastics; Assessment of processing routes (injection/extrusion/thermoforming) for scale-up; Formulation and testing of masterbatches and blends (project-dependent); Early-stage design optimization for manufacturability and fewer iterations
"
"22","Universidad de Santiago de Chile","Testing of Recycled Plastic Materials","Mechanical, thermal, and chemical characterization for performance assessment","Validation of recycled materials for new products; Quality control in mechanical recycling processes; Performance comparison between formulations and batches; Technical support for R&D and circular economy projects; Assistance in material selection and design decisions"
"23","Universidad de Santiago de Chile","Recycling Project Formulation","Technical and conceptual design of recycling initiatives focused on materials and sustainability","Project formulation for R&D and innovation funding programs; Development of recycling initiatives applied to architecture and design; Support for companies and organizations in waste valorization strategies; Structuring of circular economy and sustainability projects; Preparation of initiatives for technology transfer and scale-up"
"24","Universidad de Santiago de Chile","TRL Assessment and Validation","Technology maturity diagnosis and roadmap for scale-up and technology transfer","Maturity diagnosis for developing technologies and products; Support for R&D funding applications and progress reporting; Planning of piloting and scale-up for recycled-material solutions; Preparation for technology transfer (licensing, agreements, industrial adoption); Prioritization of testing and prototyping to reduce technical risk"
"25","Universidad de Santiago de Chile","PoC Validation and Commercial Scale-Up","Technical consulting to turn recycled-material prototypes into scalable products","PoC validation for recycled-material products prior to production investment; Preparation of solutions for industrial piloting and process scale-up; Support for companies and entrepreneurs in market entry and technical decision-making; Design and material optimization for consistency, quality, and performance; Support for funding applications and evidence building for TRL/MVP"
"26","Universidad de Santiago de Chile","Creativity workshops for idea generation","Activating creative potential to generate actionable and viable ideas","Training; Organizational innovation; Entrepreneurship"
"27","Universidad de Santiago de Chile","Agile methodology workshops for innovation project management","Agile approaches to manage innovation projects iteratively and customer-centrically","Innovation projects; Multidisciplinary teams"
"28","Universidad de Santiago de Chile","Life Cycle Assessment and Carbon Footprint Analysis","Comprehensive environmental assessment of products, processes and production systems","Environmental product assessment; Emission reduction strategies; Sustainable decision support"
"29","Universidad de Santiago de Chile","Optimization and simulation of production systems","Mathematical modeling for efficient and sustainable production decisions","Production system design; Operational scenario evaluation; Resource optimization"
"30","Universidad de Santiago de Chile","Sustainable production strategies","Strategic design of efficient and responsible production systems","Production planning; Organizational transformation; Sustainability strategies
"
"31","Universidad de Santiago de Chile","Education for sustainable production systems","Capacity building for sustainable work environments","Professional training; Organizational capacity building; Sustainable workforce development"
"32","Universidad de Santiago de Chile","Sustainable procurement and bidding analysis","Technical support for sustainable procurement processes","Public and private procurement; Sustainable production projects"
"33","Universidad de Santiago de Chile","Prioritization of sustainable production actions","Strategic prioritization to maximize impact and efficiency","Production improvement plans; Sustainability strategies"
"34","Universidad de Santiago de Chile","Sustainable operational optimization","Continuous improvement of production processes","Industrial processes; Existing production systems"
"35","Universidad de Santiago de Chile","Scientific and technological project development","Formulation and execution of applied R&D projects","Academic projects; Technological innovation; Applied research
"
"36","Universidad de Santiago de Chile","Recycled Plastics Application Consulting","Technical assessment for the use of recycled plastic products in architecture and design","Definition of feasible architectural applications for recycled plastics; Support for product and construction system design projects; Technical evaluation of materials for cladding and functional elements; Support for sustainable architecture and circular economy strategies; Technical assistance in R&D, innovation, and technology transfer projects"
"37","Universidad Nacional del Sur","Integral Characterization of Plastic Waste","COMPOSITIONAL ANALYSIS OF PLASTIC WASTE","Municipal Solid Waste (MSW)
Waste from Electrical and Electronic Equipment (WEEE)
Post-consumer flexible and rigid packaging
Agro-plastics
Containers and Packaging"
"38","Universidad Nacional del Sur","Weathering","ACCELERATED WEATHERING TESTS UNDER SPECIFIC UV LIGHT, HUMIDITY AND HEAT CONDITIONS","Plastic films and products
Coatings
Adhesives
Paints
Textiles
Papers and many other materials"
"39","Universidad Nacional del Sur","Tribology","WEAR AND FRICTION OF POLYMERIC MATERIALS","Polymers
Elastomers
Polymer nanocomposites
Performance comparison under wear and friction"
"40","Universidad Nacional del Sur","Thermogravimetric analysis","AMOUNT AND RATE OF MASS CHANGE AS A FUNCTION OF TEMPERATURE OR TIME","Thermal stability
Compositional analysis
Oxidative stability
Quantification of volatiles/moisture
Screening of additives
Residue and filler content"
"41","Universidad Nacional del Sur","Rheology","RHEOLOGICAL CHARACTERIZATION OF POLYMERIC MATERIALS","Viscoelasticity changes as a function of temperature, time and shear
rate
Prediction of flow behavior of materials in processing and end-use
conditions
"
"42","Universidad Nacional del Sur","Polymer Quality Control","QUALITY CONTROL OF POLYMER RAW MATERIALS AND FINISHED PLASTIC PRODUCTS","Polymer raw materials
Finished plastic products"
"43","Universidad Nacional del Sur","Polymer Processing","EVALUATION OF POLYMER PROCESSING BEHAVIOR UNDER LAB AND PILOT PLANT SCALE","Processing evaluation of new polymer grades and additives
Quality control of raw materials
Solution of processing problems"
"44","Universidad Nacional del Sur","Package/Food Interaction Analysis","MIGRATION AND COMPLIANCE TESTS OF FOOD PACKAGING","Compliance evaluation of food and drug packaging materials
regulations"
