"","HEI","Title","Description","Level"
"1","Universidade de Aveiro","Bioplastics Resources and Technologies","Bioplastics Resources and Technologies is an university-accredited qualification to respond to new market needs by providing a tailor-made course to update and deepen the skills of persons working in companies possessing agri-food byproducts, and in companies producing formulations and bioplastics in different forms.","Avanzado"
"2","Universidade de Aveiro","Sustainable Plastics - from feedstocks to product design","The Sustainable Plastics - from natural raw materials to product design course is a qualification accredited by the university to respond to new mobility opportunities, offering a mixed (virtual and face-to-face) intensive course to give students the opportunity to gain skills to implement an experimental project.","Intermedio"
"3","Universidade de Aveiro","UACOOPERA - Cooperation and knowledge transfer","Fostering a culture of innovation and knowledge transfer, while supporting the academic community in addressing challenges and providing solutions for business and society in general.","Avanzado"
"4","Universidad de Santiago de Chile","Circular Economy Diploma","The Circular Economy Diploma Program covers the fundamentals and principles of the circular economy from a systems-thinking perspective, addressing climate emergency challenges and sustainable development transitions. It includes innovation and productive diversification, tools and methodologies for implementing circular economy practices in productive systems, design and assessment of circular business models, and the concept of circular territories, encompassing public policy, local governance, industrial symbiosis, and multi-stakeholder collaboration, concluding with the development of an applied circular economy project.","Avanzado"
"5","Universidad de Santiago de Chile","Circular Economy","The course covers circular economy as the optimization of material resources under sustainability criteria, including the “zero waste” approach or reintegration of materials into productive systems, considering technological and financial challenges and broader industrial/social reorganization; it also reviews real implementation cases (OECD), using Basque Country SMEs (Euskadi) as reference, focusing on methods for plan implementation, execution, and results reporting in waste management","Introductorio / básico"
"6","Universidad de Santiago de Chile","echniques for Managing and Reducing the Environmental Impact of Packaging and Packagings","The course covers sustainability and circular economy concepts for packaging, how to classify new lower-impact packaging materials, and how to apply responsibilities and concepts related to biodegradability, compostability, and ecotoxicity of packaging materials, aligned with Chile’s Law 20.920 (Extended Producer Responsibility / “Ley REP”) for packaging producers.","Introductorio / básico"
"7","Universidad Nacional del Sur","Basic Training on Plastic Classification and Mechanical Recycling","The course covers basic topics such as what plastics are and how they behave under different conditions, and why it is important not to mix them. It also includes topics related to plastic classification using accessible techniques, fundamental concepts and criteria of mechanical recycling, and safety procedures to be considered during the process. In addition, the environmental role of sorting activities within the circular economy of these materials will be analyzed.","Introductorio / básico"
"8","Universidad Nacional del Sur","Polymer Testing Methods","Ad-hoc courses tailored to cover the specific needs of materials technologists, students, design engineers and researchers. The testing methods covered are focused on the characterization of the whole range of physical and chemical properties, including mechanical, optical, thermal, barrier and processability tests.","Introductorio / básico"
"9","Universidad Nacional del Sur","Polymer Processes","Ad-hoc courses for each interested party, tailored to its specific needs. Possible contents include: conventional and controlled free radical polymerization; Ziegler-Natta and metallocenic processes; stepwise polymerization; measurement and prediction of molecular weight distributions; copolymers; polymerizations in mass, suspension, emulsion, solution, gas-phase and other technologies; post-reactor modification: controlled rheology, functionalization, degradation, industrial examples of polymer processes.","Intermedio"
"10","Universidad Nacional del Sur","Macromolecular Architectures","Macromolecular architectures involve synthesis, design and development of tailor-made polymers by employing different synthetic methods. From conventional step-growth or chain-growth to latest controlled radical polymerizations, in this course different Polymer Science topics regarding the synthesis and characterization of complex macromolecular structures are covered.","Intermedio"
