"","HEI","Title","Description"
"1","Universidade de Aveiro","Barrier and surface properties","Analysis of barrier and surface properties of polymers"
"2","Universidade de Aveiro","Morphological characterization of plastic materials","Micro- and nanoscale analysis of virgin, recycled, composite, and nanocomposite polymers"
"3","Universidade de Aveiro","Optical properties of polymers","UV-Vis characterization and colorimetric analysis"
"4","Universidade de Aveiro","Rheological properties of polymers","Rheological properties of polymers"
"5","Universidade de Aveiro","Thermal analysis of polymers","Thermal characterization using TGA, DSC, DTA, conductivity and diffusivity"
"6","Universidade de Aveiro","Plastic surface coating","Development and study of functional coatings applied by screen printing, doctor blade coating, and spray coating"
"7","Universidade de Aveiro","Mechanical properties of plastic materials","Evaluation of mechanical properties through tensile, compression, flexural, hardness, and impact testing"
"8","Universidade de Aveiro","Structural analysis of polymeric materials","Advanced capabilities for studying chemical structure, crystallinity and degradation in polymeric materials"
"9","Universidade de Aveiro","Design of thermoplastic compounds","Development and optimization of thermoplastic and functional compounds with real-time rheological control."
"10","Universidade de Aveiro","Polymer extrusion","Development of circular formulations and functional compounds at lab and pilot scale via single- and twin-screw extrusion"
"11","Universidade de Aveiro","3D printing of thermoplastic materials","Development, parameterization, and validation of thermoplastic materials for additive manufacturing at laboratory scale."
"12","Universidade de Aveiro","Injection molding of thermoplastic polymers","Processing and validation of thermoplastic polymers, blends, and composites at laboratory and pilot scale."
"13","Universidade de Aveiro","Thermocompression of thermoplastic polymers","Molding of sheets and films by hot pressing."
"14","Universidad de Santiago de Chile","Innovation project management methodologies (Design Thinking, Lean Startup, etc.)","A comparative framework for guiding sustainable and market-driven innovation processes"
"15","Universidad de Santiago de Chile","Ability to generate solutions with a focus on innovation","Driving creative problem-solving through strategic and user-centered approaches"
"16","Universidad de Santiago de Chile","Innovative solution prototyping","Design, modeling and early validation of solutions through functional prototypes"
"17","Universidad de Santiago de Chile","Business model development","Designing value-driven, scalable and sustainable organizational architectures"
"18","Universidad de Santiago de Chile","Assessment of innovation capacity in companies","Evaluating organizational enablers, barriers and readiness for sustained innovation"
"19","Universidad de Santiago de Chile","Innovation capability diagnosis for compaines","Strategic assessment of organizational innovation maturity"
"20","Universidad de Santiago de Chile","Capabilities in Design and Prototyping from Mechanical Recycling of Plastics","Interdisciplinary development of sustainable materials and architectural prototypes through the mechanical processing of recycled polymers."
"21","Universidad de Santiago de Chile","Immersive Training in Circular Economy for Plastics through Virtual Reality","Experiential learning on recycling and sustainability through interactive virtual environments"
"22","Universidad de Santiago de Chile","Sustainable Innovation Indicator for Companies","Measure, evaluate, and strengthen your company’s innovative and sustainable capabilities."
"23","Universidad de Santiago de Chile","Design and Development of Architectural Products Using Recycled Plastic","Comprehensive solutions from design to prototyping and production"
"24","Universidad de Santiago de Chile","Characterization of Plastics for Architecture and Construction","Analysis and characterization of materials based on mechanical, chemical, and thermal properties"
"25","Universidad de Santiago de Chile","Environmental Impact Assessment","Evaluating environmental risks, sustainability performance and mitigation strategies"
"26","Universidad de Santiago de Chile","Mathematical simulation of production systems","Modeling complex systems to predict behavior and optimize decision-making"
"27","Universidad de Santiago de Chile","Solving circular logistics problems","Strategies to optimize resource loops, reverse flows and sustainable value recovery"
"28","Universidad Nacional del Sur","Polymer Processing","Thermoplastic composites/nanocomposites processing operations experience"
"29","Universidad Nacional del Sur","Evaluation of Finished Packaging","FAILURE ANALYSIS OF FOOD AND PHARMACEUTICAL PACKAGING, MIGRATION AND COMPLIANCE TESTS"
"30","Universidad Nacional del Sur","Wastewater Treatment","TREATMENT OF PHENOLIC AND ANILINE-RELATED COMPOUNDS FROM WASTEWATERS"
"31","Universidad Nacional del Sur","Energy Efficiency","REDUCTION OF ENERGY CONSUMPTION"
"32","Universidad Nacional del Sur","Environmental Studies","EVALUATION AND IMPLEMENTATION OF ANALYTICAL METHODS"
"33","Universidad Nacional del Sur","Bioplastics Process Modeling","SUPERSTRUCTURE-BASED OPTIMIZATION MODEL FOR BIOPOLYMER PRODUCTION PROCESSES"
"34","Universidad Nacional del Sur","Biorefinery Design & Optimization","DECISION MAKING INSIGHTS FOR INTEGRATED BIOREFINERY THROUGH MATHEMATICAL MODELING"
"35","Universidad Nacional del Sur","Engineering and Consulting","PROCESS ENGINEERING SERVICES"
"36","Universidad Nacional del Sur","Plastic Film with Tailored Surface","THERMOPLASTIC FILMS WITH TAILOR-MADE SURFACE BY A PROCESS WITHOUT ADHESIVES"
